X,Y,OBJECTID,WARD,BLDG_NAME,ADDRESS
-89.3130976920278,43.1362809593401,4846,24,Sandburg Elementary School,4114 Donald Dr
-89.3108192309212,43.1293541113118,4847,25,Eastside Lutheran Church and School,2310 Independence Ln
-89.3286714630809,43.118349422197,4848,26,East Madison Community Center,8 Straubel Ct
-89.3281862406746,43.1120072755888,4849,27,Hawthorne Elementary School,3344 Concord Ave
-89.3500799111977,43.1041477284515,4850,28,Bashford United Methodist Church,329 North St
-89.3544699766757,43.0975357377804,4851,29,East High School,2222 E Washington Ave
-89.367086593365,43.0918697402666,4852,30,Tenney Park Pavilion,402 N Thornton Ave
-89.3621924554418,43.1122770429139,4853,31,Door Creek Church - Northside,1181 N Sherman Ave
-89.3624300769679,43.1277693511885,4854,32,Lakeview Library,2845 N Sherman Ave
-89.3627400207203,43.1340506838113,4855,33,Sherman Ave United Methodist Church,3705 N Sherman Ave
-89.3703986727666,43.1464587606059,4856,34,Black Hawk Middle School,1402 Wyoming Way
-89.3647665217151,43.1517374747091,4857,35,TPC Wisconsin,5000 N Sherman Ave
-89.3694177900633,43.1317096014744,4858,36,Warner Park Community Recreation Center,1625 Northport Dr
-89.3885158160351,43.1431866611331,4859,37,Lindbergh Elementary School,4500 Kennedy Rd
-89.3835124063734,43.1367834381485,4860,38,Mendota Elementary School,4002 School Rd
-89.3853432555328,43.1362111298704,4861,39,Vera Court Neighborhood Center,614 Vera Ct
-89.3573556171252,43.0885060072168,4862,40,Bethany Evangelical Free Church,301 Riverside Dr
-89.3717817176132,43.0858754495536,4863,41,Lapham Elementary School,1045 E Dayton St
-89.3572391287048,43.0867174034152,4864,42,O'Keeffe Middle School,510 S Thornton Ave
-89.3765586082932,43.0862555564809,4865,43,Christ Presbyterian Church,944 E Gorham St
-89.3669664104889,43.0798354008419,4866,44,Wil-Mar Neighborhood Center,504 S Brearly St
-89.3809196920814,43.0745351275002,4867,45,Majestic Theatre,115 King St
-89.3848909853405,43.0799625269046,4868,46,Gates of Heaven,302 E Gorham St
-89.3880369232037,43.0767248043898,4869,47,Bethel Lutheran Church,312 Wisconsin Ave
-89.3955668694885,43.0762021154737,4870,48,Lowell Center,610 Langdon St
-89.3959456160336,43.0756027799399,4871,49,Hillel at University of Wisconsin,611 Langdon St
-89.3986407182153,43.0737149843845,4872,50,Chazen Museum of Art,750 University Ave
